ID_Cliente,Evento,Tiempo,Tiempo_Desde_Ultima_Llegada,Tamaño_Cola,Cajeros_Ocupados,Tiempo_Inicio_Servicio,Tiempo_Fin_Servicio,Tiempo_En_Cola,Tiempo_En_Servicio,Tiempo_Total
1,Llegada,3.76,3.76,0,0,,,,,
1,InicioServicio,3.76,0.00,0,1,3.7598508238756487,,,,
2,Llegada,4.00,0.24,0,1,,,,,
3,Llegada,5.15,1.15,1,1,,,,,
3,InicioServicio,5.15,0.00,0,1,5.154142284252009,,,,
3,FinServicio,5.27,0.11,0,1,5.154142284252009,5.269106035922438,,0.11496375167042946,0.11496375167042938
4,Llegada,6.70,1.43,1,1,,,,,
4,InicioServicio,6.70,0.00,0,1,6.700422051522928,,,,
5,Llegada,6.77,0.07,1,1,,,,,
6,Llegada,6.78,0.01,1,1,,,,,
6,InicioServicio,6.78,0.00,0,1,6.776817648311431,,,,
1,FinServicio,6.93,0.15,1,1,3.7598508238756487,6.930782345782896,,3.170931521907247,3.1709315219072476
2,InicioServicio,6.93,0.00,0,1,6.930782345782896,,2.926134219086575,,
2,FinServicio,7.11,0.18,0,1,6.930782345782896,7.109586803832094,,0.17880445804919795,3.104938677135773
7,Llegada,7.25,0.14,0,0,,,,,
7,InicioServicio,7.25,0.00,0,1,7.2473607580357955,,,,
8,Llegada,7.32,0.07,0,1,,,,,
9,Llegada,7.59,0.27,1,1,,,,,
10,Llegada,8.02,0.43,1,1,,,,,
10,InicioServicio,8.02,0.00,0,1,8.023869819160405,,,,
11,Llegada,8.09,0.07,1,1,,,,,
12,Llegada,8.11,0.02,1,1,,,,,
12,InicioServicio,8.11,0.00,0,1,8.111980566601586,,,,
13,Llegada,8.52,0.41,1,1,,,,,
12,FinServicio,8.79,0.27,1,1,8.111980566601586,8.794873126266948,,0.682892559665362,0.6828925596653619
13,InicioServicio,8.79,0.00,0,1,8.794873126266948,,0.27449154910712004,,
6,FinServicio,11.20,2.40,1,1,6.776817648311431,11.19643665236606,,4.41961900405463,4.4196190040546295
9,InicioServicio,11.20,0.00,0,1,11.19643665236606,,3.6043661764272343,,
10,FinServicio,11.85,0.65,1,1,8.023869819160405,11.847853225540948,,3.8239834063805427,3.8239834063805436
11,InicioServicio,11.85,0.00,0,1,11.847853225540948,,3.7553969085612398,,
14,Llegada,12.38,0.53,1,1,,,,,
7,FinServicio,12.46,0.09,1,1,7.2473607580357955,12.46294510917253,,5.215584351136734,5.215584351136735
8,InicioServicio,12.46,0.00,0,1,12.46294510917253,,5.1448604430369045,,
9,FinServicio,13.31,0.84,1,1,11.19643665236606,13.307612601646136,,2.1111759492800757,5.7155421257073105
14,InicioServicio,13.31,0.00,0,1,13.307612601646136,,0.9306746638084764,,
13,FinServicio,14.33,1.02,0,1,8.794873126266948,14.326124901233399,,5.531251774966452,5.805743324073571
11,FinServicio,18.05,3.72,0,1,11.847853225540948,18.04552820557403,,6.1976749800330815,9.953071888594321
8,FinServicio,18.50,0.45,0,1,12.46294510917253,18.495728092489465,,6.032782983316936,11.17764342635384
15,Llegada,19.66,1.17,0,0,,,,,
15,InicioServicio,19.66,0.00,0,1,19.66210004642037,,,,
16,Llegada,20.36,0.70,0,1,,,,,
17,Llegada,20.69,0.33,1,1,,,,,
18,Llegada,23.10,2.41,1,1,,,,,
18,InicioServicio,23.10,0.00,0,1,23.10109155460119,,,,
4,FinServicio,23.15,0.05,1,1,6.700422051522928,23.152100833613527,,16.4516787820906,16.4516787820906
5,InicioServicio,23.15,0.00,0,1,23.152100833613527,,16.385172778777193,,
15,FinServicio,23.31,0.16,1,1,19.66210004642037,23.311581906079613,,3.6494818596592427,3.649481859659243
16,InicioServicio,23.31,0.00,0,1,23.311581906079613,,2.9527134539558766,,
19,Llegada,24.59,1.28,0,1,,,,,
5,FinServicio,24.59,0.00,0,1,23.152100833613527,24.590095942806332,,1.437995109192805,17.823167887969998
20,Llegada,25.00,0.41,1,1,,,,,
20,InicioServicio,25.00,0.00,0,1,25.00368682400528,,,,
21,Llegada,25.69,0.69,1,1,,,,,
22,Llegada,26.44,0.75,1,1,,,,,
23,Llegada,26.48,0.04,1,1,,,,,
23,InicioServicio,26.48,0.00,0,1,26.47827315548861,,,,
14,FinServicio,26.61,0.13,1,1,13.307612601646136,26.608641845751343,,13.301029244105205,14.231703907913683
17,InicioServicio,26.61,0.00,0,1,26.608641845751343,,5.921950830487276,,
16,FinServicio,26.64,0.03,1,1,23.311581906079613,26.636673056779358,,3.3250911506997443,6.277804604655621
19,InicioServicio,26.64,0.00,0,1,26.636673056779358,,2.047645617856581,,
17,FinServicio,26.77,0.14,0,1,26.608641845751343,26.773031230546383,,0.16438938479503865,6.086340215282316
24,Llegada,27.84,1.07,0,1,,,,,
20,FinServicio,28.52,0.68,1,1,25.00368682400528,28.52016862855291,,3.51648180454763,3.516481804547631
21,InicioServicio,28.52,0.00,0,1,28.52016862855291,,2.8279711364466706,,
21,FinServicio,28.53,0.01,0,1,28.52016862855291,28.532403154368534,,0.012234525815626436,2.8402056622622958
19,FinServicio,30.42,1.89,1,1,26.636673056779358,30.422596103859703,,3.7859230470803458,5.8335686649369265
24,InicioServicio,30.42,0.00,0,1,30.422596103859703,,2.5801662218521884,,
25,Llegada,31.28,0.86,0,1,,,,,
18,FinServicio,31.57,0.29,1,1,23.10109155460119,31.57064611056039,,8.469554555959201,8.4695545559592
22,InicioServicio,31.57,0.00,0,1,31.57064611056039,,5.128210470580225,,
22,FinServicio,32.19,0.61,0,1,31.57064611056039,32.18526371800765,,0.6146176074472547,5.7428280780274825
26,Llegada,32.20,0.01,1,1,,,,,
26,InicioServicio,32.20,0.00,0,1,32.199966252074006,,,,
27,Llegada,32.37,0.17,1,1,,,,,
23,FinServicio,33.76,1.39,0,1,26.47827315548861,33.75777174189105,,7.279498586402436,7.27949858640244
28,Llegada,34.19,0.44,1,1,,,,,
28,InicioServicio,34.19,0.00,0,1,34.194138418162346,,,,
26,FinServicio,35.69,1.50,1,1,32.199966252074006,35.69175388316249,,3.4917876310884846,3.491787631088485
27,InicioServicio,35.69,0.00,0,1,35.69175388316249,,3.3262178509790488,,
29,Llegada,36.53,0.84,1,1,,,,,
30,Llegada,37.14,0.61,1,1,,,,,
24,FinServicio,37.91,0.77,1,1,30.422596103859703,37.90856808617215,,7.485971982312453,10.066138204164638
25,InicioServicio,37.91,0.00,0,1,37.90856808617215,,6.629881186847015,,
31,Llegada,38.70,0.79,0,1,,,,,
32,Llegada,39.24,0.54,1,1,,,,,
32,InicioServicio,39.24,0.00,0,1,39.244303672290044,,,,
32,FinServicio,39.79,0.55,0,1,39.244303672290044,39.78947082127834,,0.5451671489882958,0.5451671489882983
33,Llegada,40.58,0.79,1,1,,,,,
33,InicioServicio,40.58,0.00,0,1,40.58323098193411,,,,
34,Llegada,41.46,0.88,1,1,,,,,
35,Llegada,41.63,0.17,1,1,,,,,
35,InicioServicio,41.63,0.00,0,1,41.628024687329024,,,,
33,FinServicio,41.88,0.25,1,1,40.58323098193411,41.875055059314064,,1.291824077379959,1.2918240773799567
34,InicioServicio,41.88,0.00,0,1,41.875055059314064,,0.4124576445765271,,
34,FinServicio,42.15,0.27,0,1,41.875055059314064,42.14978545001632,,0.27473039070225264,0.6871880352787798
36,Llegada,42.69,0.54,1,1,,,,,
36,InicioServicio,42.69,0.00,0,1,42.69245480685003,,,,
37,Llegada,43.69,1.00,1,1,,,,,
25,FinServicio,43.69,0.00,1,1,37.90856808617215,43.68769573204266,,5.77912764587051,12.409008832717525
